"geo_label_citystate","strata_race_label","strata_sex_label","All Cancer Deaths","Lung Cancer Deaths","Colorectal Cancer Deaths","Cardiovascular Disease Deaths","Heart Disease Deaths","Diabetes Deaths","Deaths from All Causes","Premature Death","Life Expectancy","Gun Deaths (Firearms)","Injury Deaths","Motor Vehicle Deaths","Homicides","Pneumonia or Influenza Deaths","HIV-Related Deaths","COVID-19 Deaths","Opioid Overdose Deaths","Suicide","Drug Overdose Deaths"
"Dallas, TX","White","Female",124.3191649,23.88440804,9.692473325,162.7746647,120.743995,13.68006832,661.0777683,4465.524036,83.2599845,4.304320268,51.39200935,5.746912449,0,8.125383716,0,7.280489853,10.93887392,6.511201803,21.37246993
"Houston, TX","White","Female",137.0717788,26.38135366,12.86152254,180.9392293,132.4687615,12.0044019,691.9921017,5998.840759,81.0446267,7.68826497,66.99293512,7.327726112,4.420960861,8.795472292,0,8.047817021,17.27803496,15.48845721,26.13347337
"Baltimore, MD","Black","Male",245.8379026,52.8853317,20.16459833,443.7420212,330.5449103,51.56651388,1582.503386,23761.79386,64.43479268,123.3065248,432.6732025,17.46897812,119.240761,13.95691375,23.94924625,15.00198581,221.5950472,21.28486603,246.7639009
"Houston, TX","Black","Male",234.9054735,48.54006679,33.60294802,452.9788857,341.181108,52.87585191,1476.265603,20076.26925,65.8271383,85.48212116,244.5748795,36.65576383,75.88403712,18.35418471,21.16699532,13.7681718,34.60656069,20.32267118,77.87011094
"Milwaukee, WI","White","Female",134.6186344,30.56212797,10.91400277,185.1013347,142.0529651,12.47901253,745.2311173,6658.443004,79.71362747,6.069519114,107.0866786,4.977451697,0,6.936675495,0,8.804838111,47.43274463,6.76400984,54.33748099
"Las Vegas, NV","White","Female",141.3545123,31.91907123,14.4070802,218.4367329,170.8236466,16.08621818,761.5568933,5978.013286,79.48944277,8.711524296,69.9884091,7.277785641,3.020974718,14.61781281,0,11.03147884,21.16046926,12.84356425,30.88538519
"Tucson, AZ","Asian/PI","Female",126.0203453,0,0,101.5871266,45.05572162,0,440.8290046,2478.930565,0,0,0,0,0,0,0,0,0,0,0
"Denver, CO","Hispanic","Male",149.1113217,19.96279249,14.16983767,235.1677552,172.056907,39.39385109,1040.244499,11329.4244,73.47972294,39.5904422,191.7530226,28.365846,27.48933645,9.57131659,0,0,50.62363646,26.6529771,73.38706834
"El Paso, TX","Hispanic","Male",166.242607,17.700624,24.10072999,251.4399241,201.1215285,51.54421116,996.7708376,9844.799296,74.78913279,13.83862653,106.4161047,22.87601628,7.53198457,12.57969424,3.028106738,16.7570606,24.81411971,17.90268885,34.08329245
"Minneapolis, MN","Asian/PI","Male",192.8937364,0,0,256.7088816,165.2137193,0,910.4779922,8519.290912,0,0,93.40047937,0,0,0,0,0,0,0,0
"Boston, MA","White","Female",132.0105884,33.66756503,10.88121044,129.481297,96.35834166,10.78997081,592.9639067,3356.493051,84.13284323,0,48.2877991,0,0,7.481970056,0,9.977715203,23.74848543,4.065217682,28.86641507
"Las Vegas, NV","Black","Female",175.0241442,28.33484022,16.69682278,0,0,38.8670361,1015.109692,10616.63723,75.81076171,9.591534656,73.01779964,10.64015145,7.42063247,0,0,8.47704396,17.81630987,10.60656319,29.94395144
"San Jose, CA","Hispanic","Female",96.43399255,6.909207784,8.223973005,121.6056482,73.49646928,30.31286123,472.291894,3567.33748,88.10131231,0,33.14860654,7.690476617,0,6.217122743,0,0,7.782041354,0,12.64148728
"Denver, CO","White","Male",150.2174064,26.59555172,13.7716599,218.1327938,175.5425705,24.298403,887.9273372,7342.315351,78.10123483,20.8988959,134.2410535,9.697893827,4.434540529,0,0,12.33749684,36.43068865,31.47993895,51.48896567
"Charlotte, NC","White","Male",148.6237733,25.35092994,13.7428498,202.5252028,149.9428698,17.18917286,784.4997984,6253.023167,79.42030359,16.32047049,89.48963818,8.957992295,3.852912545,11.82332309,0,13.81367005,30.51961721,21.38077893,36.84572558
"Austin, TX","White","Male",150.459817,23.64599396,15.97973577,237.3721197,192.4067497,14.00403206,829.2045135,6263.259331,78.9279901,22.73108697,109.8921192,10.40503437,4.108152732,8.517125402,2.157836052,15.13246465,22.58296179,31.06785315,36.02296641
